// trade log:
trade 57: size: -20, entry: 5272.6298828125 at tick 258, exit: 5272.35986328125 at tick 260, pnl: 5.400390625
trade 58: size: -20, entry: 5272.6201171875 at tick 270, exit: 5272.35986328125 at tick 273, pnl: 5.205078125
trade 59: size: -20, entry: 5272.6201171875 at tick 283, exit: 5272.6201171875 at tick 286, pnl: -0
trade 60: size: -20, entry: 5273.10986328125 at tick 288, exit: 5272.8798828125 at tick 289, pnl: 4.599609375
trade 61: size: -20, entry: 5273.3701171875 at tick 300, exit: 5273.1298828125 at tick 301, pnl: 4.8046875
trade 62: size: -20, entry: 5273.3701171875 at tick 313, exit: 5272.35986328125 at tick 321, pnl: 20.205078125
trade 63: size: -20, entry: 5272.60986328125 at tick 325, exit: 5272.35986328125 at tick 327, pnl: 5
trade 64: size: -20, entry: 5271.3798828125 at tick 350, exit: 5271.1201171875 at tick 354, pnl: 5.1953125
trade 65: size: -20, entry: 5271.1201171875 at tick 367, exit: 5271.3798828125 at tick 368, pnl: -5.1953125
trade 66: size: -20, entry: 5272.1298828125 at tick 370, exit: 5271.3798828125 at tick 371, pnl: 15
trade 67: size: -20, entry: 5271.8798828125 at tick 386, exit: 5271.3798828125 at tick 387, pnl: 10
trade 68: size: -20, entry: 5271.8798828125 at tick 390, exit: 5271.60986328125 at tick 390, pnl: 5.400390625
trade 69: size: -20, entry: 5272.1201171875 at tick 393, exit: 5271.8798828125 at tick 395, pnl: 4.8046875
trade 70: size: -20, entry: 5271.1201171875 at tick 419, exit: 5271.6201171875 at tick 422, pnl: -10
trade 71: size: -20, entry: 5272.1298828125 at tick 424, exit: 5271.85986328125 at tick 427, pnl: 5.400390625
trade 72: size: -20, entry: 5272.35986328125 at tick 431, exit: 5272.8701171875 at tick 433, pnl: -10.205078125
trade 73: size: -20, entry: 5273.8798828125 at tick 435, exit: 5273.6298828125 at tick 440, pnl: 5
trade 74: size: -20, entry: 5274.35986328125 at tick 447, exit: 5273.8701171875 at tick 450, pnl: 9.794921875
trade 75: size: -20, entry: 5273.1298828125 at tick 466, exit: 5273.10986328125 at tick 467, pnl: 0.400390625
trade 76: size: -20, entry: 5273.60986328125 at tick 474, exit: 5273.3798828125 at tick 475, pnl: 4.599609375
trade 77: size: -20, entry: 5273.8798828125 at tick 481, exit: 5270.8701171875 at tick 494, pnl: 60.1953125
trade 78: size: -20, entry: 5271.10986328125 at tick 498, exit: 5270.8701171875 at tick 500, pnl: 4.794921875
trade 79: size: -20, entry: 5271.60986328125 at tick 502, exit: 5271.8701171875 at tick 506, pnl: -5.205078125
trade 80: size: -20, entry: 5272.35986328125 at tick 510, exit: 5272.1201171875 at tick 513, pnl: 4.794921875
trade 81: size: -20, entry: 5272.60986328125 at tick 521, exit: 5272.3701171875 at tick 521, pnl: 4.794921875
trade 82: size: -20, entry: 5272.60986328125 at tick 533, exit: 5272.3798828125 at tick 533, pnl: 4.599609375
trade 83: size: -20, entry: 5272.8798828125 at tick 535, exit: 5272.85986328125 at tick 539, pnl: 0.400390625
trade 84: size: -20, entry: 5273.35986328125 at tick 542, exit: 5273.1298828125 at tick 544, pnl: 4.599609375
trade 85: size: -20, entry: 5270.6298828125 at tick 582, exit: 5270.6298828125 at tick 583, pnl: -0
trade 86: size: -20, entry: 5271.10986328125 at tick 585, exit: 5270.85986328125 at tick 587, pnl: 5
trade 87: size: -20, entry: 5271.6201171875 at tick 595, exit: 5271.3701171875 at tick 600, pnl: 5
trade 88: size: -20, entry: 5271.85986328125 at tick 605, exit: 5271.6298828125 at tick 614, pnl: 4.599609375
trade 89: size: -20, entry: 5272.1201171875 at tick 618, exit: 5272.6298828125 at tick 624, pnl: -10.1953125
trade 90: size: -20, entry: 5272.85986328125 at tick 630, exit: 5272.8701171875 at tick 633, pnl: -0.205078125
trade 91: size: -20, entry: 5273.10986328125 at tick 638, exit: 5273.1201171875 at tick 639, pnl: -0.205078125
trade 92: size: -20, entry: 5272.8701171875 at tick 660, exit: 5270.60986328125 at tick 669, pnl: 45.205078125
trade 93: size: -20, entry: 5267.35986328125 at tick 699, exit: 5267.35986328125 at tick 713, pnl: -0
trade 94: size: -20, entry: 5258.8701171875 at tick 763, exit: 5259.6298828125 at tick 764, pnl: -15.1953125
trade 95: size: -20, entry: 5260.10986328125 at tick 767, exit: 5259.6298828125 at tick 770, pnl: 9.599609375
trade 96: size: -20, entry: 5254.1298828125 at tick 806, exit: 5254.35986328125 at tick 808, pnl: -4.599609375
trade 97: size: -20, entry: 5255.3798828125 at tick 810, exit: 5255.8798828125 at tick 814, pnl: -10
trade 98: size: -20, entry: 5257.35986328125 at tick 816, exit: 5258.1201171875 at tick 817, pnl: -15.205078125
trade 99: size: -20, entry: 5258.8798828125 at tick 820, exit: 5259.3701171875 at tick 821, pnl: -9.8046875
trade 100: size: -20, entry: 5259.8701171875 at tick 823, exit: 5259.1201171875 at tick 824, pnl: 15
trade 101: size: -20, entry: 5260.8701171875 at tick 827, exit: 5258.31982421875 at tick 832, pnl: 51.005859375
trade 102: size: -20, entry: 5259.97021484375 at tick 838, exit: 5258.83984375 at tick 840, pnl: 22.607421875
trade 103: size: -20, entry: 5242.5400390625 at tick 909, exit: 5235.25 at tick 923, pnl: 145.80078125
trade 104: size: -20, entry: 5238.97998046875 at tick 925, exit: 5238.75 at tick 928, pnl: 4.599609375
trade 105: size: -20, entry: 5238.31005859375 at tick 951, exit: 5236.580078125 at tick 951, pnl: 34.599609375
trade 106: size: -20, entry: 5233.1201171875 at tick 965, exit: 5235.1298828125 at tick 966, pnl: -40.1953125
