// trade log:
trade 57: size: 100, entry: 4172.77978515625 at tick 224, exit: 4172.7998046875 at tick 225, pnl: 2.001953125
trade 58: size: -100, entry: 4172.5400390625 at tick 230, exit: 4172.5498046875 at tick 235, pnl: -0.9765625
trade 59: size: 100, entry: 4172.27978515625 at tick 234, exit: 4172.0400390625 at tick 242, pnl: -23.974609375
trade 60: size: -100, entry: 4172.7998046875 at tick 236, exit: 4172.0400390625 at tick 242, pnl: 75.9765625
trade 61: size: 100, entry: 4171.77978515625 at tick 240, exit: 4172.0400390625 at tick 242, pnl: 26.025390625
trade 62: size: -100, entry: 4171.7998046875 at tick 254, exit: 4172.02978515625 at tick 254, pnl: -22.998046875
trade 63: size: 100, entry: 4172.2998046875 at tick 256, exit: 4172.52978515625 at tick 257, pnl: 22.998046875
trade 64: size: -100, entry: 4171.77978515625 at tick 263, exit: 4172.0498046875 at tick 263, pnl: -27.001953125
trade 65: size: 100, entry: 4172.5400390625 at tick 271, exit: 4172.0498046875 at tick 271, pnl: -49.0234375
trade 66: size: 100, entry: 4171.7900390625 at tick 275, exit: 4172.0498046875 at tick 276, pnl: 25.9765625
trade 67: size: 100, entry: 4172.0498046875 at tick 276, exit: 4171.27978515625 at tick 277, pnl: -77.001953125
trade 68: size: 100, entry: 4171.27978515625 at tick 277, exit: 4171.2998046875 at tick 277, pnl: 2.001953125
trade 69: size: -100, entry: 4171.2998046875 at tick 279, exit: 4171.27978515625 at tick 280, pnl: 2.001953125
trade 70: size: -100, entry: 4171.27978515625 at tick 280, exit: 4171.2998046875 at tick 281, pnl: -2.001953125
trade 71: size: 100, entry: 4172.2998046875 at tick 289, exit: 4172.52978515625 at tick 290, pnl: 22.998046875
trade 72: size: 100, entry: 4172.0498046875 at tick 288, exit: 4172.2900390625 at tick 293, pnl: 24.0234375
trade 73: size: -100, entry: 4172.52978515625 at tick 290, exit: 4172.2900390625 at tick 294, pnl: 23.974609375
trade 74: size: -100, entry: 4172.52978515625 at tick 291, exit: 4172.2900390625 at tick 294, pnl: 23.974609375
trade 75: size: -100, entry: 4172.0400390625 at tick 302, exit: 4172.0400390625 at tick 303, pnl: -0
trade 76: size: 100, entry: 4170.7998046875 at tick 310, exit: 4170.7900390625 at tick 311, pnl: -0.9765625
trade 77: size: 100, entry: 4170.7900390625 at tick 311, exit: 4170.5400390625 at tick 312, pnl: -25
trade 78: size: -100, entry: 4171.0498046875 at tick 308, exit: 4171.02978515625 at tick 312, pnl: 2.001953125
trade 79: size: 100, entry: 4170.5400390625 at tick 312, exit: 4171.02978515625 at tick 312, pnl: 48.974609375
trade 80: size: -100, entry: 4171.5498046875 at tick 316, exit: 4171.7900390625 at tick 317, pnl: -24.0234375
trade 81: size: 100, entry: 4171.5498046875 at tick 318, exit: 4171.7998046875 at tick 318, pnl: 25
trade 82: size: -100, entry: 4171.77978515625 at tick 322, exit: 4172.0498046875 at tick 323, pnl: -27.001953125
trade 83: size: -100, entry: 4172.0498046875 at tick 323, exit: 4171.77978515625 at tick 324, pnl: 27.001953125
trade 84: size: -100, entry: 4172.0498046875 at tick 328, exit: 4172.0498046875 at tick 329, pnl: -0
trade 85: size: 100, entry: 4172.0498046875 at tick 329, exit: 4172.0498046875 at tick 330, pnl: 0
trade 86: size: -100, entry: 4172.2900390625 at tick 327, exit: 4172.0400390625 at tick 330, pnl: 25
trade 87: size: 100, entry: 4172.0498046875 at tick 330, exit: 4172.0400390625 at tick 330, pnl: -0.9765625
trade 88: size: -100, entry: 4171.5498046875 at tick 349, exit: 4171.52978515625 at tick 350, pnl: 2.001953125
trade 89: size: 100, entry: 4171.77978515625 at tick 354, exit: 4172.02978515625 at tick 354, pnl: 25
trade 90: size: -100, entry: 4173.52978515625 at tick 356, exit: 4172.5498046875 at tick 357, pnl: 97.998046875
trade 91: size: 100, entry: 4171.7998046875 at tick 363, exit: 4170.2998046875 at tick 364, pnl: -150
trade 92: size: -100, entry: 4172.77978515625 at tick 362, exit: 4172.77978515625 at tick 367, pnl: -0
trade 93: size: 100, entry: 4170.2998046875 at tick 364, exit: 4172.5498046875 at tick 369, pnl: 225
trade 94: size: 100, entry: 4171.52978515625 at tick 371, exit: 4172.0400390625 at tick 372, pnl: 51.025390625
trade 95: size: -100, entry: 4173.2900390625 at tick 398, exit: 4173.52978515625 at tick 399, pnl: -23.974609375
trade 96: size: -100, entry: 4173.77978515625 at tick 403, exit: 4175.5498046875 at tick 404, pnl: -177.001953125
trade 97: size: 100, entry: 4175.02978515625 at tick 406, exit: 4175.02978515625 at tick 407, pnl: 0
trade 98: size: 100, entry: 4173.52978515625 at tick 402, exit: 4175.02978515625 at tick 407, pnl: 150
trade 99: size: 100, entry: 4175.5400390625 at tick 421, exit: 4174.52978515625 at tick 422, pnl: -101.025390625
trade 100: size: 100, entry: 4174.52978515625 at tick 424, exit: 4175.0498046875 at tick 425, pnl: 52.001953125
trade 101: size: -100, entry: 4175.0498046875 at tick 425, exit: 4174.5400390625 at tick 425, pnl: 50.9765625
trade 102: size: -100, entry: 4175.2998046875 at tick 440, exit: 4175.5400390625 at tick 441, pnl: -24.0234375
trade 103: size: -100, entry: 4173.7900390625 at tick 451, exit: 4173.7900390625 at tick 452, pnl: -0
trade 104: size: -100, entry: 4171.0498046875 at tick 468, exit: 4171.2998046875 at tick 469, pnl: -25
trade 105: size: -100, entry: 4172.2998046875 at tick 478, exit: 4172.0498046875 at tick 479, pnl: 25
trade 106: size: -100, entry: 4170.7900390625 at tick 488, exit: 4169.2900390625 at tick 491, pnl: 150
trade 107: size: -100, entry: 4168.5498046875 at tick 504, exit: 4168.2998046875 at tick 505, pnl: 25
trade 108: size: -100, entry: 4168.27978515625 at tick 507, exit: 4168.27978515625 at tick 508, pnl: -0
trade 109: size: -100, entry: 4168.0400390625 at tick 510, exit: 4168.0400390625 at tick 511, pnl: -0
trade 110: size: -100, entry: 4166.5498046875 at tick 517, exit: 4167.0400390625 at tick 518, pnl: -49.0234375
trade 111: size: -100, entry: 4167.02978515625 at tick 521, exit: 4166.7900390625 at tick 521, pnl: 23.974609375
trade 112: size: -100, entry: 4168.5498046875 at tick 551, exit: 4168.5498046875 at tick 551, pnl: -0
trade 113: size: -100, entry: 4170.02978515625 at tick 556, exit: 4170.0400390625 at tick 557, pnl: -1.025390625
trade 114: size: -100, entry: 4171.2900390625 at tick 560, exit: 4171.2900390625 at tick 560, pnl: -0
trade 115: size: -100, entry: 4171.77978515625 at tick 563, exit: 4171.2998046875 at tick 564, pnl: 47.998046875
trade 116: size: -100, entry: 4171.0400390625 at tick 573, exit: 4171.0400390625 at tick 573, pnl: -0
trade 117: size: -100, entry: 4171.27978515625 at tick 576, exit: 4171.0400390625 at tick 576, pnl: 23.974609375
trade 118: size: -100, entry: 4170.02978515625 at tick 597, exit: 4169.7998046875 at tick 597, pnl: 22.998046875
trade 119: size: -100, entry: 4169.77978515625 at tick 606, exit: 4169.52978515625 at tick 606, pnl: 25
trade 120: size: -100, entry: 4170.0498046875 at tick 608, exit: 4170.2900390625 at tick 609, pnl: -24.0234375
trade 121: size: -100, entry: 4170.5400390625 at tick 612, exit: 4170.5400390625 at tick 613, pnl: -0
trade 122: size: -100, entry: 4171.2998046875 at tick 615, exit: 4170.52978515625 at tick 615, pnl: 77.001953125
trade 123: size: -100, entry: 4168.77978515625 at tick 632, exit: 4167.7998046875 at tick 634, pnl: 97.998046875
trade 124: size: -100, entry: 4167.7998046875 at tick 645, exit: 4168.0498046875 at tick 646, pnl: -25
trade 125: size: -100, entry: 4169.0498046875 at tick 648, exit: 4168.7900390625 at tick 648, pnl: 25.9765625
trade 126: size: -100, entry: 4169.5400390625 at tick 663, exit: 4169.27978515625 at tick 663, pnl: 26.025390625
trade 127: size: -100, entry: 4169.5400390625 at tick 667, exit: 4169.7900390625 at tick 667, pnl: -25
trade 128: size: -100, entry: 4168.0498046875 at tick 678, exit: 4168.2998046875 at tick 679, pnl: -25
trade 129: size: -100, entry: 4168.7900390625 at tick 689, exit: 4167.5400390625 at tick 691, pnl: 125
trade 130: size: -100, entry: 4168.2900390625 at tick 695, exit: 4168.0400390625 at tick 695, pnl: 25
trade 131: size: -100, entry: 4168.2998046875 at tick 697, exit: 4168.5400390625 at tick 698, pnl: -24.0234375
trade 132: size: -100, entry: 4165.2998046875 at tick 711, exit: 4165.7900390625 at tick 711, pnl: -49.0234375
trade 133: size: -100, entry: 4165.5498046875 at tick 714, exit: 4165.7998046875 at tick 714, pnl: -25
